from_symbol,to_symbol,relation_type,strength,polarity,evidence,notes,effective_from,effective_to
# Hand-curated supply-chain spine for the Tier A universe.
# Convention: from_symbol is the SUBJECT of the edge; to_symbol is the related party.
#   (NVDA, TSM, "supplier")  ⇒ NVDA's supplier is TSM      (NVDA depends on TSM)
#   (TSM, NVDA, "customer")  ⇒ TSM's customer is NVDA      (revenue concentration)
# Each relationship is stored as ONE row. The reader (`src/graph/traverse.py`
# `_relations_of`) walks both directions and flips supplier↔customer for the
# inverse side, so you do NOT need to write the mirror row to make traversal
# work either way. Substitute/complement are symmetric and pass through unchanged.
#
# relation_type: supplier | customer | substitute | complement
#   supplier  → upstream input dependency
#   customer  → downstream revenue dependency
#   substitute→ direct substitute / displacement (oil ↔ EV, ICE ↔ EV)
#   complement→ co-purchased (NVDA + memory; AMD + cooling)
#
# strength: 0..1   how critical / large the relationship is
# polarity: usually +1; -1 for substitutes (when one rises, the other falls)
# Lines starting with # are skipped by the loader.

# ─── Semis: NVDA's upstream supply chain ────────────────────────────────
NVDA,TSM,supplier,0.95,1.0,"public 10-K — TSM is sole foundry for NVDA's leading-edge AI accelerators",
NVDA,ASML,supplier,0.55,1.0,"indirect via TSM — ASML EUV is irreplaceable for advanced node",2nd-hop dependency
NVDA,CDNS,supplier,0.55,1.0,"EDA tool supplier (Cadence) — chip design dependency",
NVDA,SNPS,supplier,0.55,1.0,"EDA tool supplier (Synopsys) — chip design dependency",SNPS not in Tier A; orphan-ok
NVDA,MU,complement,0.65,1.0,"HBM memory pairs with GPU — coupled demand",

# ─── Semis: NVDA's downstream customers ─────────────────────────────────
NVDA,MSFT,customer,0.85,1.0,"hyperscaler — billions in GPU spend disclosed",
NVDA,GOOGL,customer,0.65,1.0,"hyperscaler — designs own TPU but still buys NVDA",
NVDA,META,customer,0.85,1.0,"hyperscaler — Llama training on H100/H200 clusters",
NVDA,AMZN,customer,0.65,1.0,"AWS hyperscaler — also designs Trainium",
NVDA,TSLA,customer,0.45,1.0,"Tesla DOJO + AI training — historical NVDA buyer",
